technology,parameter,value,unit,source
solar,capex_gbp,430000,GBP/MW,"DESNZ EGC 2025 Annex A, Large Scale Solar PV 2035 medium: predev 30 + construction 400 GBP/kW"
solar,fom_gbp_per_yr,8800,GBP/MW/yr,"DESNZ EGC 2025 Annex A: fixed O&M 5600 + insurance 1600 + connection 1600"
solar,lifetime_yr,38,years,"DESNZ EGC 2025 Annex A"
onwind,capex_gbp,1280000,GBP/MW,"DESNZ EGC 2025 Annex A, Onshore Wind 2035 medium: predev 80 + construction 1200 GBP/kW"
onwind,fom_gbp_per_yr,38400,GBP/MW/yr,"DESNZ EGC 2025 Annex A: fixed O&M 16900 + insurance 3800 + connection 17700"
onwind,lifetime_yr,35,years,"DESNZ EGC 2025 Annex A"
offwind,capex_gbp,2570000,GBP/MW,"DESNZ EGC 2025 Annex A, Fixed Offshore Wind 2035 medium: predev 170 + construction 2400 GBP/kW"
offwind,fom_gbp_per_yr,138700,GBP/MW/yr,"DESNZ EGC 2025 Annex A: fixed O&M 43100 + insurance 8900 + connection 86700"
offwind,lifetime_yr,30,years,"DESNZ EGC 2025 Annex A"
ccgt,capex_gbp,1020000,GBP/MW,"DESNZ EGC 2025 Annex A, Gas CCGT 2035 medium: predev 20 + construction 1000 GBP/kW"
ccgt,fom_gbp_per_yr,22900,GBP/MW/yr,"DESNZ EGC 2025 Annex A: fixed O&M 16000 + insurance 2500 + connection 4400"
ccgt,vom_gbp_per_mwh,5,GBP/MWh,"DESNZ EGC 2025 Annex A"
ccgt,efficiency,0.54,ratio,"DESNZ EGC 2025 Annex A"
ccgt,lifetime_yr,25,years,"DESNZ EGC 2025 Annex A"
ccgt_existing,capex_gbp,0,GBP/MW,"Existing plant: sunk"
ccgt_existing,fom_gbp_per_yr,22900,GBP/MW/yr,"DESNZ EGC 2025 Annex A CCGT fixed costs, applied to existing plant so retirement saves them"
ccgt_existing,vom_gbp_per_mwh,5,GBP/MWh,"DESNZ EGC 2025 Annex A"
ccgt_existing,efficiency,0.50,ratio,"Author assumption: fleet average of existing CCGTs"
ccgt_existing,lifetime_yr,25,years,"not used (no capex)"
ocgt,capex_gbp,620000,GBP/MW,"DESNZ EGC 2025 Annex A, Gas OCGT 300MW 2035 medium: predev 20 + construction 600 GBP/kW"
ocgt,fom_gbp_per_yr,16400,GBP/MW/yr,"DESNZ EGC 2025 Annex A: fixed O&M 11800 + insurance 1500 + connection 3100"
ocgt,vom_gbp_per_mwh,5,GBP/MWh,"DESNZ EGC 2025 Annex A"
ocgt,efficiency,0.35,ratio,"DESNZ EGC 2025 Annex A"
ocgt,lifetime_yr,25,years,"DESNZ EGC 2025 Annex A"
gas_ccs,capex_gbp,2220000,GBP/MW,"DESNZ EGC 2025 Annex A, Gas CCUS 900MW 2035 medium: predev 20 + construction 2200 GBP/kW"
gas_ccs,fom_gbp_per_yr,35500,GBP/MW/yr,"DESNZ EGC 2025 Annex A: fixed O&M 28000 + insurance 3100 + connection 4400"
gas_ccs,vom_gbp_per_mwh,6,GBP/MWh,"DESNZ EGC 2025 Annex A (CO2 transport and storage added in the model from settings)"
gas_ccs,efficiency,0.47,ratio,"DESNZ EGC 2025 Annex A"
gas_ccs,lifetime_yr,25,years,"DESNZ EGC 2025 Annex A"
h2_ccgt,capex_gbp,1270000,GBP/MW,"DESNZ EGC 2025 Annex A, CCHT 900MW 2035 medium: predev 70 + construction 1200 GBP/kW"
h2_ccgt,fom_gbp_per_yr,21400,GBP/MW/yr,"DESNZ EGC 2025 Annex A: fixed O&M 14500 + insurance 2500 + connection 4400"
h2_ccgt,vom_gbp_per_mwh,5,GBP/MWh,"DESNZ EGC 2025 Annex A"
h2_ccgt,efficiency,0.51,ratio,"DESNZ EGC 2025 Annex A"
h2_ccgt,lifetime_yr,25,years,"DESNZ EGC 2025 Annex A"
pumped_hydro,fom_gbp_per_yr,40000,GBP/MW/yr,"Author assumption in the range of hydro fixed O&M: DESNZ EGC 2025 Annex A gives no pumped storage line, and 40000 GBP/MW/yr sits between the CCGT (22900) and offshore wind (138700) fixed costs, consistent with a long-lived civil asset with low turnover"
